,Make,Mean Model Price (£),Year,Mileage,Transmission,Engine Size (L),Fuel Type,Actual Car Price (£),Indicated Value
216,volkswagen,6736.627009646302,2006,99000,Manual,1.4,Diesel,1795,Good
217,toyota,5178.913043478261,2006,75000,Manual,2.0,Petrol,2995,Lower
218,seat,9317.119658119658,2006,85000,Manual,2.0,Petrol,2395,Good
219,toyota,3982.165680473373,2006,30798,Automatic,1.3,Petrol,3495,Great
220,volkswagen,6953.277192982456,2006,69091,Manual,1.6,Petrol,2495,Great
221,volkswagen,6953.277192982456,2006,99000,Manual,1.4,Petrol,2790,Good
222,honda,3397.8,2006,106204,Automatic,1.4,Petrol,1795,Fair
223,land rover,4513.076923076923,2006,138065,Manual,2.0,Diesel,1995,Fair
224,vauxhall,5872.614054054054,2006,100477,Automatic,1.4,Petrol,1595,Fair
225,toyota,5178.913043478261,2006,81000,Manual,2.2,Diesel,2988,Lower
226,seat,3226.333333333333,2006,108000,Manual,2.0,Diesel,2495,Great
228,bmw,6588.214285714284,2006,108000,Automatic,3.0,Diesel,3495,Lower
229,bmw,8238.234042553191,2006,123000,Automatic,2.5,Diesel,3790,Fair
230,mini,3935.633333333333,2006,102000,Manual,1.6,Petrol,3495,Great
231,nissan,3361.174418604651,2006,103000,Automatic,1.6,Petrol,1595,Great
232,volkswagen,2778.75,2006,68905,Manual,1.9,Diesel,1890,Great
233,bmw,6605.586206896552,2006,111000,Automatic,3.0,Diesel,4295,Lower
235,mini,6426.404682274248,2006,106000,Manual,1.6,Petrol,1790,Higher
236,mini,6426.404682274248,2006,107096,Manual,1.6,Petrol,1695,Fair
237,ford,6281.729041916167,2006,39000,Manual,1.4,Petrol,1850,Lower
238,nissan,6973.2,2006,115000,Automatic,2.5,Petrol,2895,Great
239,volkswagen,6736.627009646302,2006,77000,Automatic,1.4,Petrol,2740,Great
240,bmw,6605.586206896552,2006,69939,Automatic,2.0,Diesel,4499,Good
241,toyota,3982.165680473373,2006,76500,Manual,1.3,Petrol,1895,Great
242,land rover,4743.0,2006,108888,Manual,2.2,Diesel,3795,Lower
243,audi,7671.473684210528,2006,139000,Manual,1.8,Petrol,1999,Good
244,renault,5933.241258741258,2006,56345,Automatic,1.6,Petrol,2490,Great
245,saab,2922.2045454545455,2006,80000,Manual,2.0,Petrol,2995,Lower
246,volvo,5881.266666666666,2006,61231,Manual,2.0,Petrol,2395,Lower
247,volvo,2987.5714285714284,2006,81900,Manual,2.4,Petrol,2995,Lower
248,mini,6426.404682274248,2006,55000,Manual,1.6,Petrol,3990,Great
249,mazda,6342.478260869565,2006,112000,Manual,1.8,Petrol,2795,Great
250,toyota,3982.165680473373,2006,71600,Automatic,1.3,Petrol,2495,Great
251,toyota,4719.1679389312985,2006,33000,Manual,1.0,Petrol,1999,Lower
252,saab,2922.2045454545455,2006,46000,Automatic,2.0,Petrol,4490,Lower
